Input file,Event Number,Species Code,Call,Start time,End time,Comments,Image,Audio
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:02,UF,Other,5/22/2022 3:23:13.5,5/22/2022 12:26:40.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:02,UF,Other,5/22/2022 3:25:13.5,5/22/2022 4:28:43.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:03,UF,Other,5/23/2022 2:59:31.5,5/23/2022 12:40:33.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:03,UF,Other,5/23/2022 3:05:26.5,5/23/2022 4:24:46.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:04,UF,Other,5/24/2022 3:13:20.5,5/24/2022 12:30:36.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:04,UF,Other,5/24/2022 3:15:20.5,5/24/2022 4:22:45.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:04,UF,Other,5/25/2022 3:19:19.5,5/25/2022 12:38:36.5,bocaccio ,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:05,UF,Other,5/25/2022 3:27:14.5,5/25/2022 4:16:49.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:08,UF,Other,5/26/2022 3:13:17.5,5/26/2022 12:38:33.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:08,UF,Other,5/26/2022 3:07:22.5,5/26/2022 4:02:52.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:12,UF,Other,5/27/2022 3:11:19.5,5/27/2022 4:10:49.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:12,UF,Other,5/27/2022 3:11:19.5,5/27/2022 12:26:40.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:12,UF,Other,5/27/2022 3:15:19.5,5/27/2022 3:50:59.5,HF sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:14,UF,Other,5/28/2022 3:13:21.5,5/28/2022 4:20:46.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:14,UF,Other,5/28/2022 3:05:26.5,5/28/2022 12:38:37.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:14,UF,Other,5/28/2022 3:13:21.5,5/28/2022 3:59:01.5,HF sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:14,UF,Other,5/29/2022 3:11:19.5,5/29/2022 4:12:49.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:14,UF,Other,5/29/2022 3:15:19.5,5/29/2022 12:28:40.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:15,UF,Other,5/29/2022 3:17:19.5,5/29/2022 3:54:59.5,HF sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:15,UF,Other,5/30/2022 0:06:52.5,5/30/2022 10:19:45.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:15,UF,Other,5/30/2022 3:27:12.5,5/30/2022 12:20:38.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:15,UF,Other,5/31/2022 3:33:10.5,5/31/2022 12:16:46.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:15,UF,Other,5/31/2022 3:33:10.5,5/31/2022 4:34:40.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:15,UF,Other,5/31/2022 0:18:50.5,5/31/2022 11:25:13.5,off effort,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:16,UF,Other,6/1/2022 3:37:11.5,6/1/2022 4:56:31.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:16,UF,Other,6/1/2022 3:39:11.5,6/1/2022 12:14:47.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:16,UF,Other,6/2/2022 3:35:12.5,6/2/2022 4:52:32.5,bocaccio sunset,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:17,UF,Other,6/2/2022 3:33:12.5,6/2/2022 12:10:49.5,bocaccio,,
D:\Chumash NMS Fish Data\df24\MB05_01_df24\MB05_01_df24_5s_1Hz_LTSA.ltsa,7/17/2023 1:17,UF,Other,6/3/2022 3:33:10.5,6/3/2022 4:50:30.5,bocaccio sunset,,
